timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2024/01/03 10:48:44.940,1891,Furniture Home Page,200,OK,Thread Group 1-19,text,true,,391887,328,20,20,https://www.homecentre.in/in/en/,1413,0,1258
2024/01/03 10:48:44.940,1414,Furniture Home Page-0,301,Moved Permanently,Thread Group 1-19,text,true,,545,161,20,20,https://www.homecentre.in/,1413,0,1258
2024/01/03 10:48:46.356,475,Furniture Home Page-1,200,OK,Thread Group 1-19,text,true,,391342,167,20,20,https://www.homecentre.in/in/en/,37,0,0
2024/01/03 10:48:46.841,4,Debug Sampler,200,OK,Thread Group 1-19,text,true,,376,0,20,20,null,0,0,0
2024/01/03 10:48:44.679,2218,Furniture Home Page,200,OK,Thread Group 1-14,text,true,,391521,334,19,19,https://www.homecentre.in/in/en/,1674,0,1393
2024/01/03 10:48:44.679,1675,Furniture Home Page-0,301,Moved Permanently,Thread Group 1-14,text,true,,541,164,19,19,https://www.homecentre.in/,1674,0,1393
2024/01/03 10:48:46.356,541,Furniture Home Page-1,200,OK,Thread Group 1-14,text,true,,390980,170,19,19,https://www.homecentre.in/in/en/,28,0,0
2024/01/03 10:48:46.898,0,Debug Sampler,200,OK,Thread Group 1-14,text,true,,379,0,19,19,null,0,0,0
2024/01/03 10:48:44.571,2383,Furniture Home Page,200,OK,Thread Group 1-12,text,true,,391525,304,18,18,https://www.homecentre.in/in/en/,1782,0,1568
2024/01/03 10:48:44.571,1783,Furniture Home Page-0,301,Moved Permanently,Thread Group 1-12,text,true,,545,149,18,18,https://www.homecentre.in/,1782,0,1568
2024/01/03 10:48:46.356,598,Furniture Home Page-1,200,OK,Thread Group 1-12,text,true,,390980,155,18,18,https://www.homecentre.in/in/en/,32,0,0
2024/01/03 10:48:46.955,0,Debug Sampler,200,OK,Thread Group 1-12,text,true,,364,0,18,18,null,0,0,0
2024/01/03 10:48:44.172,2829,Furniture Home Page,200,OK,Thread Group 1-3,text,true,,391521,304,17,17,https://www.homecentre.in/in/en/,2180,0,1885
2024/01/03 10:48:44.172,2183,Furniture Home Page-0,301,Moved Permanently,Thread Group 1-3,text,true,,541,149,17,17,https://www.homecentre.in/,2180,0,1885
2024/01/03 10:48:46.356,645,Furniture Home Page-1,200,OK,Thread Group 1-3,text,true,,390980,155,17,17,https://www.homecentre.in/in/en/,37,0,0
2024/01/03 10:48:47.002,0,Debug Sampler,200,OK,Thread Group 1-3,text,true,,363,0,17,17,null,0,0,0
2024/01/03 10:48:44.983,2028,Furniture Home Page,200,OK,Thread Group 1-20,text,true,,391888,334,16,16,https://www.homecentre.in/in/en/,1370,0,1232
