timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2024/01/03 10:42:07.821,1247,Furniture Home Page,200,OK,Thread Group 1-15,text,true,,391527,304,20,20,https://www.homecentre.in/in/en/,1097,0,1061
2024/01/03 10:42:07.821,1099,Furniture Home Page-0,301,Moved Permanently,Thread Group 1-15,text,true,,547,149,20,20,https://www.homecentre.in/,1097,0,1061
2024/01/03 10:42:08.922,146,Furniture Home Page-1,200,OK,Thread Group 1-15,text,true,,390980,155,20,20,https://www.homecentre.in/in/en/,29,0,0
2024/01/03 10:42:09.074,2,Debug Sampler,200,OK,Thread Group 1-15,text,true,,364,0,20,20,null,0,0,0
2024/01/03 10:42:07.924,1184,Furniture Home Page,200,OK,Thread Group 1-17,text,true,,391527,334,19,19,https://www.homecentre.in/in/en/,994,0,948
2024/01/03 10:42:07.924,996,Furniture Home Page-0,301,Moved Permanently,Thread Group 1-17,text,true,,547,164,19,19,https://www.homecentre.in/,994,0,948
2024/01/03 10:42:08.922,186,Furniture Home Page-1,200,OK,Thread Group 1-17,text,true,,390980,170,19,19,https://www.homecentre.in/in/en/,38,0,0
2024/01/03 10:42:09.110,0,Debug Sampler,200,OK,Thread Group 1-17,text,true,,379,0,19,19,null,0,0,0
2024/01/03 10:42:07.611,1503,Furniture Home Page,200,OK,Thread Group 1-11,text,true,,391527,334,18,18,https://www.homecentre.in/in/en/,1307,0,1261
2024/01/03 10:42:07.611,1309,Furniture Home Page-0,301,Moved Permanently,Thread Group 1-11,text,true,,547,164,18,18,https://www.homecentre.in/,1307,0,1261
2024/01/03 10:42:08.922,192,Furniture Home Page-1,200,OK,Thread Group 1-11,text,true,,390980,170,18,18,https://www.homecentre.in/in/en/,38,0,0
2024/01/03 10:42:09.114,0,Debug Sampler,200,OK,Thread Group 1-11,text,true,,379,0,18,18,null,0,0,0
2024/01/03 10:42:08.032,1125,Furniture Home Page,200,OK,Thread Group 1-19,text,true,,391527,328,17,17,https://www.homecentre.in/in/en/,911,0,882
2024/01/03 10:42:08.032,911,Furniture Home Page-0,301,Moved Permanently,Thread Group 1-19,text,true,,547,161,17,17,https://www.homecentre.in/,911,0,882
2024/01/03 10:42:08.943,214,Furniture Home Page-1,200,OK,Thread Group 1-19,text,true,,390980,167,17,17,https://www.homecentre.in/in/en/,30,0,0
2024/01/03 10:42:09.158,0,Debug Sampler,200,OK,Thread Group 1-19,text,true,,376,0,17,17,null,0,0,0
2024/01/03 10:42:07.349,1895,Furniture Home Page,200,OK,Thread Group 1-6,text,true,,391521,304,16,16,https://www.homecentre.in/in/en/,1633,0,1521
2024/01/03 10:42:07.349,1633,Furniture Home Page-0,301,Moved Permanently,Thread Group 1-6,text,true,,541,149,16,16,https://www.homecentre.in/,1633,0,1521
2024/01/03 10:42:08.982,262,Furniture Home Page-1,200,OK,Thread Group 1-6,text,true,,390980,155,16,16,https://www.homecentre.in/in/en/,47,0,0
2024/01/03 10:42:09.244,0,Debug Sampler,200,OK,Thread Group 1-6,text,true,,363,0,16,16,null,0,0,0
2024/01/03 10:42:07.250,2025,Furniture Home Page,200,OK,Thread Group 1-2,text,true,,391527,334,15,15,https://www.homecentre.in/in/en/,1731,0,1693
2024/01/03 10:42:07.250,1731,Furniture Home Page-0,301,Moved Permanently,Thread Group 1-2,text,true,,547,164,15,15,https://www.homecentre.in/,1731,0,1693
2024/01/03 10:42:08.983,292,Furniture Home Page-1,200,OK,Thread Group 1-2,text,true,,390980,170,15,15,https://www.homecentre.in/in/en/,49,0,0
2024/01/03 10:42:09.276,0,Debug Sampler,200,OK,Thread Group 1-2,text,true,,378,0,15,15,null,0,0,0
2024/01/03 10:42:07.251,2086,Furniture Home Page,200,OK,Thread Group 1-4,text,true,,391525,328,14,14,https://www.homecentre.in/in/en/,1762,0,1710
